capacity_per_10k,exploration_share,fraud_value_recall,novel_fraud_recall,precision
100,0.0,0.35874380119324123,0.0,0.4358974358974359
100,0.1,0.35874380119324123,0.0,0.4358974358974359
100,0.2,0.360635511007459,0.03225806451612903,0.46153846153846156
100,0.3,0.3438774156346342,0.03225806451612903,0.4358974358974359
100,0.4,0.3208452245029427,0.12903225806451613,0.48717948717948717
200,0.0,0.7941759191595148,0.0,0.2948717948717949
200,0.1,0.7960676289737328,0.03225806451612903,0.3076923076923077
200,0.2,0.7828533259833594,0.0967741935483871,0.3076923076923077
200,0.3,0.7844152086575037,0.1935483870967742,0.3333333333333333
200,0.4,0.7618434434200929,0.22580645161290322,0.3333333333333333
