fraud_prevalence,measured_tpr,measured_fpr,expected_alert_precision,detector
0.001,0.2987012987012987,0.013716697441308361,0.021333243948346896,supervised
0.0025,0.2987012987012987,0.013716697441308361,0.051753068188360674,supervised
0.005,0.2987012987012987,0.013716697441308361,0.09863584275369942,supervised
0.01,0.2987012987012987,0.013716697441308361,0.18030393578017695,supervised
0.02,0.2987012987012987,0.013716697441308361,0.30767955001782,supervised
0.001,0.09090909090909091,0.0055394355051437616,0.01616217598908595,tail_anomaly
0.0025,0.09090909090909091,0.0055394355051437616,0.03950604418507712,tail_anomaly
0.005,0.09090909090909091,0.0055394355051437616,0.07618569131832797,tail_anomaly
0.01,0.09090909090909091,0.0055394355051437616,0.1421980495123781,tail_anomaly
0.02,0.09090909090909091,0.0055394355051437616,0.25089344804765057,tail_anomaly
