target_prevalence,method,n_mean,observed_prevalence_mean,mean_predicted_risk_mean,brier_mean,brier_sd,log_loss_mean,ece_10bin_mean
0.001,prior_adjusted,3795.0,0.001054018445322793,0.0010792087005828607,0.0009441778577905333,0.00010045230145400227,0.007258319985549511,0.0003817407606073056
0.001,unadjusted,3795.0,0.001054018445322793,0.008338305277647524,0.0023244928474645326,0.00015332826828272136,0.013460639135667871,0.007313592657650854
0.0025,prior_adjusted,3801.0,0.002630886608787161,0.0026684844429548287,0.0023087585909062035,0.00018441976192015434,0.01572017550402711,0.0012894054913950444
0.0025,unadjusted,3801.0,0.002630886608787161,0.008697365352655981,0.0034400719519304575,0.0002418206174889827,0.019452898822454646,0.006158662978234743
0.005,prior_adjusted,3810.0,0.0049868766404199474,0.004908322706559201,0.004622335202670782,0.0003358539805530326,0.029070619531571324,0.0028520996525324936
0.005,unadjusted,3810.0,0.0049868766404199474,0.008981918957490813,0.00538566342429158,0.00034149169271977886,0.03046900978223749,0.0041219999048678875
0.01,prior_adjusted,3829.0,0.009924262209454165,0.009334990701304141,0.008944063920286805,0.0005361129178194086,0.05100485386597246,0.0059086972042231
0.01,unadjusted,3829.0,0.009924262209454165,0.009964479932074232,0.009050318925328748,0.0005391375739988865,0.05097885894191011,0.005834199711253644
0.02,prior_adjusted,3868.0,0.019906928645294725,0.01739313717589815,0.017178146714268212,2.5170013646589176e-18,0.08863990162108466,0.010271553564649826
0.02,unadjusted,3868.0,0.019906928645294725,0.01185144529456004,0.01651450990892713,2.387837155822266e-18,0.0919730777842254,0.01141377484243176
