traffic_multiplier,analyst_capacity_per_hour,exploration_share,hours,observed_candidate_arrival_rate_per_hour,scaled_arrival_rate_per_hour,arrivals,served,capacity_utilisation,max_backlog_cases,final_backlog_cases,hours_with_backlog_rate,max_wait_proxy_hours,stable_by_end,meets_4h_sla_proxy
0.5,4.0,0.2,288,0.7048611111111112,0.3524305555555556,101.5,101.5,0.0881076388888889,0.0,0.0,0.0,0.0,True,True
1.0,4.0,0.2,288,0.7048611111111112,0.7048611111111112,203.0,203.0,0.1762152777777778,0.0,0.0,0.0,0.0,True,True
1.5,4.0,0.2,288,0.7048611111111112,1.0572916666666667,304.5,304.5,0.2643229166666667,1.9999999999999998,0.0,0.034722222222222224,0.49999999999999994,True,True
2.0,4.0,0.2,288,0.7048611111111112,1.4097222222222223,406.0,406.0,0.3524305555555556,4.0,0.0,0.05555555555555555,1.0,True,True
4.0,4.0,0.2,288,0.7048611111111112,2.8194444444444446,812.0,812.0,0.7048611111111112,28.000000000000004,0.0,0.4270833333333333,7.000000000000001,True,False
0.5,6.0,0.2,288,0.7048611111111112,0.3524305555555556,101.5,101.5,0.05873842592592592,0.0,0.0,0.0,0.0,True,True
1.0,6.0,0.2,288,0.7048611111111112,0.7048611111111112,203.0,203.0,0.11747685185185185,0.0,0.0,0.0,0.0,True,True
1.5,6.0,0.2,288,0.7048611111111112,1.0572916666666667,304.5,304.5,0.1762152777777778,0.0,0.0,0.0,0.0,True,True
2.0,6.0,0.2,288,0.7048611111111112,1.4097222222222223,406.0,406.0,0.2349537037037037,2.0,0.0,0.003472222222222222,0.3333333333333333,True,True
4.0,6.0,0.2,288,0.7048611111111112,2.8194444444444446,812.0,812.0,0.4699074074074074,15.999999999999998,0.0,0.2013888888888889,2.6666666666666665,True,True
0.5,8.0,0.2,288,0.7048611111111112,0.3524305555555556,101.5,101.5,0.04405381944444445,0.0,0.0,0.0,0.0,True,True
1.0,8.0,0.2,288,0.7048611111111112,0.7048611111111112,203.0,203.0,0.0881076388888889,0.0,0.0,0.0,0.0,True,True
1.5,8.0,0.2,288,0.7048611111111112,1.0572916666666667,304.5,304.5,0.13216145833333334,0.0,0.0,0.0,0.0,True,True
2.0,8.0,0.2,288,0.7048611111111112,1.4097222222222223,406.0,406.0,0.1762152777777778,0.0,0.0,0.0,0.0,True,True
4.0,8.0,0.2,288,0.7048611111111112,2.8194444444444446,812.0,812.0,0.3524305555555556,8.0,0.0,0.05555555555555555,1.0,True,True
