queue,capacity_per_10k,review_n,precision,fraud_recall,fraud_value_recall,novel_fraud_recall
model,25,10,1.0,0.12987012987012986,0.21923199101306004,0.0
hybrid,25,10,0.4,0.05194805194805195,0.13084197532590391,0.0
two_lane_80_20,25,10,0.8,0.1038961038961039,0.209270032973501,0.0
model,50,20,0.75,0.19480519480519481,0.31525434236383787,0.0
hybrid,50,20,0.65,0.16883116883116883,0.2661276703351718,0.03225806451612903
two_lane_80_20,50,20,0.7,0.18181818181818182,0.28001381742823744,0.0
model,100,39,0.4358974358974359,0.22077922077922077,0.35874380119324123,0.0
hybrid,100,39,0.41025641025641024,0.2077922077922078,0.2842176311116601,0.06451612903225806
two_lane_80_20,100,39,0.46153846153846156,0.23376623376623376,0.360635511007459,0.03225806451612903
model,200,78,0.2948717948717949,0.2987012987012987,0.7941759191595148,0.0
hybrid,200,78,0.3333333333333333,0.33766233766233766,0.7618434434200929,0.22580645161290322
two_lane_80_20,200,78,0.3076923076923077,0.3116883116883117,0.7828533259833594,0.0967741935483871
