audit_rate,seed,labelled_train_n,labelled_train_rate,labelled_fraud_rate,labelled_account_takeover_n,labelled_transfer_burst_n,labelled_mule_cashout_n,known_test_pr_auc,legit_flag_rate,recall_account_takeover,recall_transfer_burst,recall_mule_cashout
0.0,11,920,0.07590132827324478,0.07934782608695652,59,3,11,0.44891509866586915,0.015826958586125033,0.9375,0.1875,0.14285714285714285
0.0,23,920,0.07590132827324478,0.07934782608695652,59,3,11,0.44891509866586915,0.015826958586125033,0.9375,0.1875,0.14285714285714285
0.01,11,1017,0.08390396831944559,0.0727630285152409,59,3,12,0.460680863775831,0.014508045370614614,1.0,0.1875,0.21428571428571427
0.01,23,1032,0.08514148997607458,0.07170542635658915,59,4,11,0.46901716604199833,0.015035610656818781,1.0,0.1875,0.14285714285714285
0.05,11,1468,0.12111211946209059,0.05108991825613079,59,4,12,0.4837503496176918,0.013452914798206279,1.0,0.125,0.21428571428571427
0.05,23,1452,0.11979209636168633,0.05096418732782369,59,4,11,0.46425820735776957,0.01424426272751253,1.0,0.1875,0.2857142857142857
0.1,11,2053,0.16937546407062123,0.03799318071115441,59,6,13,0.4708443052368964,0.010815088367185439,1.0,0.0625,0.2857142857142857
0.1,23,2023,0.16690042075736325,0.03806228373702422,59,5,13,0.4406268592573739,0.01556317594302295,1.0,0.25,0.14285714285714285
1.0,11,12121,1.0,0.01047768335945879,64,32,31,0.4798165384428136,0.013980480084410446,1.0,0.3125,0.2857142857142857
1.0,23,12121,1.0,0.01047768335945879,64,32,31,0.4798165384428136,0.013980480084410446,1.0,0.3125,0.2857142857142857
