step,active_regime,max_pending_cases,transactions,cumulative_transactions,cumulative_entitlement,new_slots_available,selected_this_step,selected_cumulative,evicted_this_step,evicted_cumulative,pending_after_selection_and_cap
595,1,0,5434,5434,27,27,27,27,5407,5407,0
596,1,0,9319,14753,73,46,46,73,9273,14680,0
597,1,0,2486,17239,86,13,13,86,2473,17153,0
598,1,0,934,18173,90,4,4,90,930,18083,0
599,1,0,1816,19989,99,9,9,99,1807,19890,0
600,1,0,18,20007,100,1,1,100,17,19907,0
601,1,0,865,20872,104,4,4,104,861,20768,0
602,1,0,8,20880,104,0,0,104,8,20776,0
603,1,0,12,20892,104,0,0,104,12,20788,0
604,1,0,8,20900,104,0,0,104,8,20796,0
605,1,0,16,20916,104,0,0,104,16,20812,0
606,1,0,14,20930,104,0,0,104,14,20826,0
607,1,0,8,20938,104,0,0,104,8,20834,0
608,1,0,1082,22020,110,6,6,110,1076,21910,0
609,1,0,8,22028,110,0,0,110,8,21918,0
610,1,0,1199,23227,116,6,6,116,1193,23111,0
611,1,0,14,23241,116,0,0,116,14,23125,0
612,1,0,2677,25918,129,13,13,129,2664,25789,0
613,1,0,45,25963,129,0,0,129,45,25834,0
614,1,0,1278,27241,136,7,7,136,1271,27105,0
615,1,0,8,27249,136,0,0,136,8,27113,0
616,1,0,6,27255,136,0,0,136,6,27119,0
617,1,0,2680,29935,149,13,13,149,2667,29786,0
618,1,0,8,29943,149,0,0,149,8,29794,0
619,1,0,2800,32743,163,14,14,163,2786,32580,0
620,1,0,8,32751,163,0,0,163,8,32588,0
621,1,0,1121,33872,169,6,6,169,1115,33703,0
622,1,0,4,33876,169,0,0,169,4,33707,0
623,1,0,6,33882,169,0,0,169,6,33713,0
624,1,0,10,33892,169,0,0,169,10,33723,0
625,1,0,24,33916,169,0,0,169,24,33747,0
626,1,0,6,33922,169,0,0,169,6,33753,0
627,1,0,4,33926,169,0,0,169,4,33757,0
628,1,0,6,33932,169,0,0,169,6,33763,0
629,1,0,20,33952,169,0,0,169,20,33783,0
630,1,0,150,34102,170,1,1,170,149,33932,0
631,1,0,12,34114,170,0,0,170,12,33944,0
632,1,0,8,34122,170,0,0,170,8,33952,0
633,1,0,8,34130,170,0,0,170,8,33960,0
634,1,0,10,34140,170,0,0,170,10,33970,0
635,1,0,16,34156,170,0,0,170,16,33986,0
636,1,0,12,34168,170,0,0,170,12,33998,0
637,1,0,3390,37558,187,17,17,187,3373,37371,0
638,1,0,14,37572,187,0,0,187,14,37385,0
639,1,0,14,37586,187,0,0,187,14,37399,0
640,1,0,1398,38984,194,7,7,194,1391,38790,0
641,1,0,10,38994,194,0,0,194,10,38800,0
642,1,0,1141,40135,200,6,6,200,1135,39935,0
643,1,0,14,40149,200,0,0,200,14,39949,0
644,1,0,2267,42416,212,12,12,212,2255,42204,0
645,2,0,10,42426,212,0,0,212,10,42214,0
646,2,0,20,42446,212,0,0,212,20,42234,0
647,2,0,10,42456,212,0,0,212,10,42244,0
648,2,0,14,42470,212,0,0,212,14,42258,0
649,2,0,263,42733,213,1,1,213,262,42520,0
650,2,0,16,42749,213,0,0,213,16,42536,0
651,2,0,10,42759,213,0,0,213,10,42546,0
652,2,0,14,42773,213,0,0,213,14,42560,0
653,2,0,8,42781,213,0,0,213,8,42568,0
654,2,0,8,42789,213,0,0,213,8,42576,0
655,2,0,4,42793,213,0,0,213,4,42580,0
656,2,0,1965,44758,223,10,10,223,1955,44535,0
657,2,0,10,44768,223,0,0,223,10,44545,0
658,2,0,14,44782,223,0,0,223,14,44559,0
659,2,0,2500,47282,236,13,13,236,2487,47046,0
660,2,0,12,47294,236,0,0,236,12,47058,0
661,2,0,4877,52171,260,24,24,260,4853,51911,0
662,2,0,2,52173,260,0,0,260,2,51913,0
663,2,0,10,52183,260,0,0,260,10,51923,0
664,2,0,1125,53308,266,6,6,266,1119,53042,0
665,2,0,10,53318,266,0,0,266,10,53052,0
666,2,0,6,53324,266,0,0,266,6,53058,0
667,2,0,1400,54724,273,7,7,273,1393,54451,0
668,2,0,8,54732,273,0,0,273,8,54459,0
669,2,0,322,55054,275,2,2,275,320,54779,0
670,2,0,1906,56960,284,9,9,284,1897,56676,0
671,2,0,18,56978,284,0,0,284,18,56694,0
672,2,0,153,57131,285,1,1,285,152,56846,0
673,2,0,445,57576,287,2,2,287,443,57289,0
674,2,0,14,57590,287,0,0,287,14,57303,0
675,2,0,30,57620,288,1,1,288,29,57332,0
676,2,0,8,57628,288,0,0,288,8,57340,0
677,2,0,8,57636,288,0,0,288,8,57348,0
678,2,0,6,57642,288,0,0,288,6,57354,0
679,2,0,72,57714,288,0,0,288,72,57426,0
680,2,0,22,57736,288,0,0,288,22,57448,0
681,2,0,4703,62439,312,24,24,312,4679,62127,0
682,2,0,6,62445,312,0,0,312,6,62133,0
683,2,0,2192,64637,323,11,11,323,2181,64314,0
684,2,0,4562,69199,345,22,22,345,4540,68854,0
685,2,0,14,69213,346,1,1,346,13,68867,0
686,2,0,4689,73902,369,23,23,369,4666,73533,0
687,2,0,8040,81942,409,40,40,409,8000,81533,0
688,2,0,7885,89827,449,40,40,449,7845,89378,0
689,2,0,14,89841,449,0,0,449,14,89392,0
690,2,0,4972,94813,474,25,25,474,4947,94339,0
691,2,0,4809,99622,498,24,24,498,4785,99124,0
692,2,0,6898,106520,532,34,34,532,6864,105988,0
693,2,0,4,106524,532,0,0,532,4,105992,0
694,2,0,2664,109188,545,13,13,545,2651,108643,0
695,3,0,2827,112015,560,15,15,560,2812,111455,0
696,3,0,6,112021,560,0,0,560,6,111461,0
697,3,0,12,112033,560,0,0,560,12,111473,0
698,3,0,65,112098,560,0,0,560,65,111538,0
699,3,0,55,112153,560,0,0,560,55,111593,0
700,3,0,6,112159,560,0,0,560,6,111599,0
701,3,0,18,112177,560,0,0,560,18,111617,0
702,3,0,14,112191,560,0,0,560,14,111631,0
703,3,0,8,112199,560,0,0,560,8,111639,0
704,3,0,16,112215,561,1,1,561,15,111654,0
705,3,0,2362,114577,572,11,11,572,2351,114005,0
706,3,0,4,114581,572,0,0,572,4,114009,0
707,3,0,309,114890,574,2,2,574,307,114316,0
708,3,0,4,114894,574,0,0,574,4,114320,0
709,3,0,2313,117207,586,12,12,586,2301,116621,0
710,3,0,1788,118995,594,8,8,594,1780,118401,0
711,3,0,8,119003,595,1,1,595,7,118408,0
712,3,0,23,119026,595,0,0,595,23,118431,0
713,3,0,8,119034,595,0,0,595,8,118439,0
714,3,0,681,119715,598,3,3,598,678,119117,0
715,3,0,1879,121594,607,9,9,607,1870,120987,0
716,3,0,140,121734,608,1,1,608,139,121126,0
717,3,0,632,122366,611,3,3,611,629,121755,0
718,3,0,918,123284,616,5,5,616,913,122668,0
719,3,0,14,123298,616,0,0,616,14,122682,0
720,3,0,10,123308,616,0,0,616,10,122692,0
721,3,0,4,123312,616,0,0,616,4,122696,0
722,3,0,10,123322,616,0,0,616,10,122706,0
723,3,0,14,123336,616,0,0,616,14,122720,0
724,3,0,14,123350,616,0,0,616,14,122734,0
725,3,0,4,123354,616,0,0,616,4,122738,0
726,3,0,22,123376,616,0,0,616,22,122760,0
727,3,0,12,123388,616,0,0,616,12,122772,0
728,3,0,10,123398,616,0,0,616,10,122782,0
729,3,0,4,123402,617,1,1,617,3,122785,0
730,3,0,28,123430,617,0,0,617,28,122813,0
731,3,0,16,123446,617,0,0,617,16,122829,0
732,3,0,10,123456,617,0,0,617,10,122839,0
733,3,0,10,123466,617,0,0,617,10,122849,0
734,3,0,8,123474,617,0,0,617,8,122857,0
735,3,0,12,123486,617,0,0,617,12,122869,0
736,3,0,14,123500,617,0,0,617,14,122883,0
737,3,0,10,123510,617,0,0,617,10,122893,0
738,3,0,10,123520,617,0,0,617,10,122903,0
739,3,0,10,123530,617,0,0,617,10,122913,0
740,3,0,6,123536,617,0,0,617,6,122919,0
741,3,0,22,123558,617,0,0,617,22,122941,0
742,3,0,14,123572,617,0,0,617,14,122955,0
743,3,0,8,123580,617,0,0,617,8,122963,0
595,1,5000,5434,5434,27,27,27,27,407,407,5000
596,1,5000,9319,14753,73,46,46,73,9273,9680,5000
597,1,5000,2486,17239,86,13,13,86,2473,12153,5000
598,1,5000,934,18173,90,4,4,90,930,13083,5000
599,1,5000,1816,19989,99,9,9,99,1807,14890,5000
600,1,5000,18,20007,100,1,1,100,17,14907,5000
601,1,5000,865,20872,104,4,4,104,861,15768,5000
602,1,5000,8,20880,104,0,0,104,8,15776,5000
603,1,5000,12,20892,104,0,0,104,12,15788,5000
604,1,5000,8,20900,104,0,0,104,8,15796,5000
605,1,5000,16,20916,104,0,0,104,16,15812,5000
606,1,5000,14,20930,104,0,0,104,14,15826,5000
607,1,5000,8,20938,104,0,0,104,8,15834,5000
608,1,5000,1082,22020,110,6,6,110,1076,16910,5000
609,1,5000,8,22028,110,0,0,110,8,16918,5000
610,1,5000,1199,23227,116,6,6,116,1193,18111,5000
611,1,5000,14,23241,116,0,0,116,14,18125,5000
612,1,5000,2677,25918,129,13,13,129,2664,20789,5000
613,1,5000,45,25963,129,0,0,129,45,20834,5000
614,1,5000,1278,27241,136,7,7,136,1271,22105,5000
615,1,5000,8,27249,136,0,0,136,8,22113,5000
616,1,5000,6,27255,136,0,0,136,6,22119,5000
617,1,5000,2680,29935,149,13,13,149,2667,24786,5000
618,1,5000,8,29943,149,0,0,149,8,24794,5000
619,1,5000,2800,32743,163,14,14,163,2786,27580,5000
620,1,5000,8,32751,163,0,0,163,8,27588,5000
621,1,5000,1121,33872,169,6,6,169,1115,28703,5000
622,1,5000,4,33876,169,0,0,169,4,28707,5000
623,1,5000,6,33882,169,0,0,169,6,28713,5000
624,1,5000,10,33892,169,0,0,169,10,28723,5000
625,1,5000,24,33916,169,0,0,169,24,28747,5000
626,1,5000,6,33922,169,0,0,169,6,28753,5000
627,1,5000,4,33926,169,0,0,169,4,28757,5000
