strategy,arrival_cycle,arrival_step_min,arrival_step_max,transactions,alerts,fraud_alerts,precision,fraud_recall,fraud_value_recall,balanced_hmean,fraud_value_captured,review_delay_mean_steps,review_delay_p50_steps,review_delay_p90_steps,review_delay_max_steps,fraud_review_delay_mean_steps,fraud_review_delay_p90_steps
frozen_incumbent,1,595,644,42416,232,115,0.4956896551724138,0.20833333333333334,0.7203861534845345,0.32319866390839236,526894568.59,7.676724137931035,0.0,16.0,92,13.26086956521739,54.60000000000001
frozen_incumbent,2,645,694,66772,325,139,0.4276923076923077,0.25457875457875456,0.814425198465812,0.3879038092094645,832808136.23,8.590769230769231,4.0,28.600000000000023,44,6.870503597122302,17.400000000000006
frozen_incumbent,3,695,743,14392,60,60,1.0,0.1079136690647482,0.3978387406845801,0.1697757138701561,385289775.71999997,3.1333333333333333,1.0,7.100000000000001,17,3.1333333333333333,7.100000000000001
retain_old_scores,1,595,644,42416,282,149,0.5283687943262412,0.26992753623188404,0.8122951732760331,0.4052046457519785,594117353.34,14.365248226950355,1.0,57.80000000000001,87,19.91946308724832,60.20000000000002
retain_old_scores,2,645,694,66772,291,135,0.4639175257731959,0.24725274725274726,0.7987996491467363,0.37762048714935426,816829892.1499999,13.096219931271477,8.0,32.0,56,9.955555555555556,29.60000000000001
retain_old_scores,3,695,743,14392,44,44,1.0,0.07913669064748201,0.23270957032773482,0.11810861685590619,225369248.86999997,2.340909090909091,1.0,7.0,12,2.340909090909091,7.0
rescore_pending,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
rescore_pending,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
rescore_pending,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
drop_pending,1,595,644,42416,212,99,0.4669811320754717,0.1793478260869565,0.6718366284994803,0.2831171038374177,491385167.28000003,2.2783018867924527,0.0,8.0,23,4.363636363636363,12.200000000000003
drop_pending,2,645,694,66772,333,140,0.42042042042042044,0.2564102564102564,0.8154213586653648,0.3901403853310194,833826781.43,8.561561561561561,4.0,28.0,41,5.5285714285714285,15.0
drop_pending,3,695,743,14392,72,61,0.8472222222222222,0.10971223021582734,0.3745930071289891,0.16971707537457037,362777278.69,2.875,0.0,7.899999999999999,18,3.3934426229508197,11.0
