strategy,step,active_regime,handoff_mode,transactions,cumulative_transactions,cumulative_entitlement,new_slots_available,selected_this_step,selected_cumulative,pending_after_selection
frozen_incumbent,595,1,retain_old_scores,5434,5434,27,27,27,27,5407
frozen_incumbent,596,1,retain_old_scores,9319,14753,73,46,46,73,14680
frozen_incumbent,597,1,retain_old_scores,2486,17239,86,13,13,86,17153
frozen_incumbent,598,1,retain_old_scores,934,18173,90,4,4,90,18083
frozen_incumbent,599,1,retain_old_scores,1816,19989,99,9,9,99,19890
frozen_incumbent,600,1,retain_old_scores,18,20007,100,1,1,100,19907
frozen_incumbent,601,1,retain_old_scores,865,20872,104,4,4,104,20768
frozen_incumbent,602,1,retain_old_scores,8,20880,104,0,0,104,20776
frozen_incumbent,603,1,retain_old_scores,12,20892,104,0,0,104,20788
frozen_incumbent,604,1,retain_old_scores,8,20900,104,0,0,104,20796
frozen_incumbent,605,1,retain_old_scores,16,20916,104,0,0,104,20812
frozen_incumbent,606,1,retain_old_scores,14,20930,104,0,0,104,20826
frozen_incumbent,607,1,retain_old_scores,8,20938,104,0,0,104,20834
frozen_incumbent,608,1,retain_old_scores,1082,22020,110,6,6,110,21910
frozen_incumbent,609,1,retain_old_scores,8,22028,110,0,0,110,21918
frozen_incumbent,610,1,retain_old_scores,1199,23227,116,6,6,116,23111
frozen_incumbent,611,1,retain_old_scores,14,23241,116,0,0,116,23125
frozen_incumbent,612,1,retain_old_scores,2677,25918,129,13,13,129,25789
frozen_incumbent,613,1,retain_old_scores,45,25963,129,0,0,129,25834
frozen_incumbent,614,1,retain_old_scores,1278,27241,136,7,7,136,27105
frozen_incumbent,615,1,retain_old_scores,8,27249,136,0,0,136,27113
frozen_incumbent,616,1,retain_old_scores,6,27255,136,0,0,136,27119
frozen_incumbent,617,1,retain_old_scores,2680,29935,149,13,13,149,29786
frozen_incumbent,618,1,retain_old_scores,8,29943,149,0,0,149,29794
frozen_incumbent,619,1,retain_old_scores,2800,32743,163,14,14,163,32580
frozen_incumbent,620,1,retain_old_scores,8,32751,163,0,0,163,32588
frozen_incumbent,621,1,retain_old_scores,1121,33872,169,6,6,169,33703
frozen_incumbent,622,1,retain_old_scores,4,33876,169,0,0,169,33707
frozen_incumbent,623,1,retain_old_scores,6,33882,169,0,0,169,33713
frozen_incumbent,624,1,retain_old_scores,10,33892,169,0,0,169,33723
frozen_incumbent,625,1,retain_old_scores,24,33916,169,0,0,169,33747
frozen_incumbent,626,1,retain_old_scores,6,33922,169,0,0,169,33753
frozen_incumbent,627,1,retain_old_scores,4,33926,169,0,0,169,33757
frozen_incumbent,628,1,retain_old_scores,6,33932,169,0,0,169,33763
frozen_incumbent,629,1,retain_old_scores,20,33952,169,0,0,169,33783
