ttl_steps,arrival_cycle,arrival_step_min,arrival_step_max,transactions,alerts,fraud_alerts,precision,fraud_recall,fraud_value_recall,balanced_hmean,fraud_value_captured,review_delay_mean_steps,review_delay_p50_steps,review_delay_p90_steps,review_delay_max_steps,fraud_review_delay_mean_steps,fraud_review_delay_p90_steps
0,1,595,644,42416,212,47,0.22169811320754718,0.08514492753623189,0.2944657433861929,0.13209462379756803,215373935.32000002,0.0,0.0,0.0,0,0.0,0.0
0,2,645,694,66772,333,63,0.1891891891891892,0.11538461538461539,0.31173936111332157,0.16842850442267351,318775839.46,0.0,0.0,0.0,0,0.0,0.0
0,3,695,743,14392,72,34,0.4722222222222222,0.06115107913669065,0.21658905528142142,0.09537443688074741,209757220.7,0.0,0.0,0.0,0,0.0,0.0
5,1,595,644,42416,212,86,0.4056603773584906,0.15579710144927536,0.5361158058851615,0.2414329540977286,392118178.40999997,0.6084905660377359,0.0,2.0,5,1.3255813953488371,4.0
5,2,645,694,66772,343,109,0.3177842565597668,0.19963369963369965,0.56581024727945,0.29513537447274724,578581530.12,2.271137026239067,2.0,5.0,5,1.2293577981651376,4.0
5,3,695,743,14392,62,55,0.8870967741935484,0.09892086330935251,0.3298993338154378,0.15220331096814746,319493370.8999999,1.3548387096774193,1.0,4.0,5,1.2363636363636363,3.6000000000000014
10,1,595,644,42416,212,93,0.4386792452830189,0.16847826086956522,0.6003843845927594,0.2631203832476704,439124585.86,1.330188679245283,0.0,5.900000000000006,10,2.3870967741935485,7.0
10,2,645,694,66772,345,123,0.3565217391304348,0.22527472527472528,0.6761827348743468,0.3379568899660355,691445309.21,3.536231884057971,3.0,8.0,10,2.6016260162601625,7.0
10,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37479139010197365,0.16757692206334204,362969404.09999996,2.5166666666666666,1.0,7.0,10,2.5166666666666666,7.0
20,1,595,644,42416,212,99,0.4669811320754717,0.1793478260869565,0.6654456798286598,0.28254534444337487,486710790.72999996,2.2122641509433962,0.0,8.0,19,4.222222222222222,12.0
20,2,645,694,66772,345,149,0.4318840579710145,0.27289377289377287,0.809853625106365,0.40822820106550267,828133374.8199999,4.907246376811594,4.0,11.0,20,5.114093959731544,15.0
20,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
40,1,595,644,42416,215,102,0.4744186046511628,0.18478260869565216,0.6768700115073955,0.29031143999705844,495066612.51,2.6325581395348836,0.0,9.0,38,5.049019607843137,13.0
40,2,645,694,66772,342,147,0.4298245614035088,0.2692307692307692,0.8186031916867208,0.40519633493827834,837080433.74,8.97953216374269,5.0,28.0,40,5.938775510204081,15.0
40,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
infinite,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
infinite,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
infinite,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
