step,active_regime,ttl_steps,transactions,cumulative_transactions,cumulative_entitlement,new_slots_available,selected_this_step,selected_cumulative,expired_this_step,expired_cumulative,pending_after_selection,pending_age_mean_steps,pending_age_p90_steps,pending_age_max_steps
595,1,0,5434,5434,27,27,27,27,0,0,5407,0.0,0.0,0
596,1,0,9319,14753,73,46,46,73,5407,5407,9273,0.0,0.0,0
597,1,0,2486,17239,86,13,13,86,9273,14680,2473,0.0,0.0,0
598,1,0,934,18173,90,4,4,90,2473,17153,930,0.0,0.0,0
599,1,0,1816,19989,99,9,9,99,930,18083,1807,0.0,0.0,0
600,1,0,18,20007,100,1,1,100,1807,19890,17,0.0,0.0,0
601,1,0,865,20872,104,4,4,104,17,19907,861,0.0,0.0,0
602,1,0,8,20880,104,0,0,104,861,20768,8,0.0,0.0,0
603,1,0,12,20892,104,0,0,104,8,20776,12,0.0,0.0,0
604,1,0,8,20900,104,0,0,104,12,20788,8,0.0,0.0,0
605,1,0,16,20916,104,0,0,104,8,20796,16,0.0,0.0,0
606,1,0,14,20930,104,0,0,104,16,20812,14,0.0,0.0,0
607,1,0,8,20938,104,0,0,104,14,20826,8,0.0,0.0,0
608,1,0,1082,22020,110,6,6,110,8,20834,1076,0.0,0.0,0
609,1,0,8,22028,110,0,0,110,1076,21910,8,0.0,0.0,0
610,1,0,1199,23227,116,6,6,116,8,21918,1193,0.0,0.0,0
611,1,0,14,23241,116,0,0,116,1193,23111,14,0.0,0.0,0
612,1,0,2677,25918,129,13,13,129,14,23125,2664,0.0,0.0,0
613,1,0,45,25963,129,0,0,129,2664,25789,45,0.0,0.0,0
614,1,0,1278,27241,136,7,7,136,45,25834,1271,0.0,0.0,0
615,1,0,8,27249,136,0,0,136,1271,27105,8,0.0,0.0,0
616,1,0,6,27255,136,0,0,136,8,27113,6,0.0,0.0,0
617,1,0,2680,29935,149,13,13,149,6,27119,2667,0.0,0.0,0
618,1,0,8,29943,149,0,0,149,2667,29786,8,0.0,0.0,0
619,1,0,2800,32743,163,14,14,163,8,29794,2786,0.0,0.0,0
620,1,0,8,32751,163,0,0,163,2786,32580,8,0.0,0.0,0
621,1,0,1121,33872,169,6,6,169,8,32588,1115,0.0,0.0,0
622,1,0,4,33876,169,0,0,169,1115,33703,4,0.0,0.0,0
623,1,0,6,33882,169,0,0,169,4,33707,6,0.0,0.0,0
624,1,0,10,33892,169,0,0,169,6,33713,10,0.0,0.0,0
625,1,0,24,33916,169,0,0,169,10,33723,24,0.0,0.0,0
626,1,0,6,33922,169,0,0,169,24,33747,6,0.0,0.0,0
627,1,0,4,33926,169,0,0,169,6,33753,4,0.0,0.0,0
628,1,0,6,33932,169,0,0,169,4,33757,6,0.0,0.0,0
629,1,0,20,33952,169,0,0,169,6,33763,20,0.0,0.0,0
630,1,0,150,34102,170,1,1,170,20,33783,149,0.0,0.0,0
631,1,0,12,34114,170,0,0,170,149,33932,12,0.0,0.0,0
632,1,0,8,34122,170,0,0,170,12,33944,8,0.0,0.0,0
633,1,0,8,34130,170,0,0,170,8,33952,8,0.0,0.0,0
634,1,0,10,34140,170,0,0,170,8,33960,10,0.0,0.0,0
635,1,0,16,34156,170,0,0,170,10,33970,16,0.0,0.0,0
636,1,0,12,34168,170,0,0,170,16,33986,12,0.0,0.0,0
637,1,0,3390,37558,187,17,17,187,12,33998,3373,0.0,0.0,0
