refresh_step,from_regime,to_regime,ttl_steps,pending_before_expiry,expired_before_refresh,pending_rescored,rescore_reduction_vs_unexpired_pool,selected_before_refresh
645,1,2,0,2255,2255,0,2255,212
695,2,3,0,2651,2651,0,2651,545
645,1,2,5,4824,14,4810,14,212
695,2,3,5,19320,9,19311,9,545
645,1,2,10,8255,8,8247,8,212
695,2,3,10,44352,4436,39916,4436,545
645,1,2,20,8491,7,8484,7,212
695,2,3,20,51368,7,51361,7,545
645,1,2,40,21423,6,21417,6,212
695,2,3,40,66103,7,66096,7,545
645,1,2,infinite,42204,0,42204,0,212
695,2,3,infinite,108643,0,108643,0,545
