capacity_alerts_per_10k,refresh_step,from_regime,to_regime,max_pending_cases,pending_rescored,selected_before_refresh
10,645,1,2,infinite,42374,42
10,695,2,3,infinite,109079,109
10,645,1,2,5000,5000,42
10,695,2,3,5000,5000,109
25,645,1,2,infinite,42310,106
25,695,2,3,infinite,108916,272
25,645,1,2,5000,5000,106
25,695,2,3,5000,5000,272
50,645,1,2,infinite,42204,212
50,695,2,3,infinite,108643,545
50,645,1,2,5000,5000,212
50,695,2,3,5000,5000,545
100,645,1,2,infinite,41992,424
100,695,2,3,infinite,108097,1091
100,645,1,2,5000,5000,424
100,695,2,3,5000,5000,1091
