ranker,target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker
relational_model_probability,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.3261974235174241,123,0,0.8283528785106508,114,111,stable_non_label_event_key
relational_model_probability,25.0,308,308,24.923126719533904,0.9675324675324676,0.18016928657799275,8.201696110755705e-05,0.8201696110755705,0.46392604760264733,298,10,0.24686948473641937,420,17,stable_non_label_event_key
relational_model_probability,50.0,617,617,49.9271726816637,0.6434359805510534,0.2400241837968561,0.001804373144366255,18.04373144366255,0.7167434628258913,397,220,0.24686948473641937,420,326,stable_non_label_event_key
relational_model_probability,100.0,1235,1235,99.9352646059233,0.4105263157894737,0.30652962515114873,0.005970834768630153,59.70834768630153,0.8333259792845377,507,728,0.15470560385453555,225,149,stable_non_label_event_key
model_probability_x_amount,10.0,123,123,9.953066839294383,0.9512195121951219,0.07073760580411124,4.921017666453422e-05,0.4921017666453422,0.33224257819450015,117,6,2862323.811340832,1,1,stable_non_label_event_key
model_probability_x_amount,25.0,308,308,24.923126719533904,0.6915584415584416,0.12877871825876663,0.0007791611305217919,7.79161130521792,0.6145467898144233,213,95,1674301.1224006212,1,1,stable_non_label_event_key
model_probability_x_amount,50.0,617,617,49.9271726816637,0.5640194489465153,0.21039903264812576,0.0022062562537932843,22.062562537932845,0.7695722925684588,348,269,730159.8365773109,1,1,stable_non_label_event_key
model_probability_x_amount,100.0,1235,1235,99.9352646059233,0.4251012145748988,0.3174123337363966,0.00582320423863655,58.2320423863655,0.8737259461332746,525,710,118349.55214948443,1,1,stable_non_label_event_key
amount_type_rule,10.0,123,123,9.953066839294383,0.7479674796747967,0.05562273276904474,0.0002542525794334268,2.542525794334268,0.3379328231995956,92,31,16.118095750958314,111,108,stable_non_label_event_key
amount_type_rule,25.0,308,308,24.923126719533904,0.5357142857142857,0.09975816203143893,0.0011728425438380656,11.728425438380656,0.5489687710148862,165,143,15.668271393717838,2,2,stable_non_label_event_key
amount_type_rule,50.0,617,617,49.9271726816637,0.4246353322528363,0.15840386940749698,0.002911602119318275,29.11602119318275,0.7043385846443967,262,355,14.913545843531441,1,1,stable_non_label_event_key
amount_type_rule,100.0,1235,1235,99.9352646059233,0.3441295546558704,0.2569528415961306,0.00664337384971212,66.4337384971212,0.8303372686791204,425,810,14.226701077910432,1,1,stable_non_label_event_key
