routing_contract,target_alerts_per_10k,batch_alerts,online_alerts,queue_overlap,queue_overlap_rate,queue_jaccard,replacement_count,replacement_rate,batch_only_fraud,online_only_fraud,batch_only_fraud_value,online_only_fraud_value,incremental_fraud_cases_from_online_swaps,incremental_fraud_value_from_online_swaps,batch_precision,online_precision,delta_precision,batch_fraud_recall,online_fraud_recall,delta_fraud_recall,batch_fraud_value_recall,online_fraud_value_recall,delta_fraud_value_recall,review_delay_mean_steps,review_delay_p50_steps,review_delay_p90_steps,review_delay_max_steps,fraud_review_delay_mean_steps,fraud_review_delay_p90_steps,profile,alpha,amount_scale,future_step_min,future_step_max
current_step_only,10.0,123,123,33,0.2682926829268293,0.15492957746478872,90,0.7317073170731707,90,30,683708928.63,117435362.55,-60,-566273566.08,1.0,0.5121951219512195,-0.4878048780487805,0.0743651753325272,0.0380894800483676,-0.03627569528415961,0.33931059980521733,0.1313079640566117,-0.20800263574860564,0.0,0.0,0.0,0,0.0,0.0,case_first,0.25,70669.965,595,743
seen_so_far_backlog,10.0,123,123,93,0.7560975609756098,0.6078431372549019,30,0.24390243902439024,30,13,218809900.20999998,36467434.44,-17,-182342465.76999998,1.0,0.8617886178861789,-0.1382113821138211,0.0743651753325272,0.06408706166868199,-0.01027811366384522,0.33931059980521733,0.27233287779779153,-0.0669777220074258,13.43089430894309,4.0,48.599999999999994,88,15.566037735849056,51.0,case_first,0.25,70669.965,595,743
current_step_only,25.0,308,308,103,0.3344155844155844,0.20077972709551656,205,0.6655844155844156,199,35,1191180186.85,110095656.11,-164,-1081084530.74,0.8766233766233766,0.34415584415584416,-0.5324675324675325,0.16324062877871826,0.06408706166868199,-0.09915356711003627,0.6138767082776507,0.21677459133158739,-0.39710211694606334,0.0,0.0,0.0,0,0.0,0.0,case_first,0.25,70669.965,595,743
seen_so_far_backlog,25.0,308,308,244,0.7922077922077922,0.6559139784946236,64,0.2077922077922078,64,7,416728600.95,48695793.050000004,-57,-368032807.9,0.8766233766233766,0.6915584415584416,-0.18506493506493504,0.16324062877871826,0.12877871825876663,-0.03446191051995162,0.6138767082776507,0.4786915280562144,-0.13518518022143633,10.516233766233766,4.0,33.0,80,11.004694835680752,38.60000000000002,case_first,0.25,70669.965,595,743
current_step_only,50.0,617,617,246,0.3987034035656402,0.24898785425101214,371,0.6012965964343598,263,25,1403513954.6599998,35689750.410000004,-238,-1367824204.2499998,0.6158833063209076,0.23014586709886548,-0.3857374392220421,0.22974607013301088,0.08585247883917775,-0.1438935912938331,0.7766583730925302,0.27423153071976614,-0.502426842372764,0.0,0.0,0.0,0,0.0,0.0,case_first,0.25,70669.965,595,743
seen_so_far_backlog,50.0,617,617,544,0.8816855753646677,0.7884057971014493,73,0.11831442463533225,73,7,386101254.3299999,16692131.38,-66,-369409122.9499999,0.6158833063209076,0.5089141004862237,-0.10696920583468394,0.22974607013301088,0.18984280532043532,-0.039903264812575556,0.7766583730925302,0.6409676471858126,-0.1356907259067176,7.716369529983792,2.0,28.0,92,8.496815286624203,18.399999999999977,case_first,0.25,70669.965,595,743
current_step_only,100.0,1235,1235,696,0.5635627530364372,0.3923337091319053,539,0.43643724696356273,366,18,1558958421.53,16498883.840000002,-348,-1542459537.69,0.43238866396761133,0.15060728744939272,-0.2817813765182186,0.32285368802902054,0.1124546553808948,-0.21039903264812573,0.8758101948398778,0.3092366010977856,-0.5665735937420922,0.0,0.0,0.0,0,0.0,0.0,case_first,0.25,70669.965,595,743
seen_so_far_backlog,100.0,1235,1235,1141,0.9238866396761134,0.8585402558314522,94,0.07611336032388664,87,1,388808438.92999995,1015051.7,-86,-387793387.22999996,0.43238866396761133,0.362753036437247,-0.06963562753036434,0.32285368802902054,0.2708585247883918,-0.05199516324062875,0.8758101948398778,0.7333665924868692,-0.14244360235300857,5.073684210526316,2.0,13.0,59,5.017857142857143,12.0,case_first,0.25,70669.965,595,743
current_step_only,10.0,123,123,33,0.2682926829268293,0.15492957746478872,90,0.7317073170731707,90,30,683708928.63,117435362.55,-60,-566273566.08,1.0,0.5121951219512195,-0.4878048780487805,0.0743651753325272,0.0380894800483676,-0.03627569528415961,0.33931059980521733,0.1313079640566117,-0.20800263574860564,0.0,0.0,0.0,0,0.0,0.0,balanced,0.25,70669.965,595,743
seen_so_far_backlog,10.0,123,123,93,0.7560975609756098,0.6078431372549019,30,0.24390243902439024,30,13,218809900.20999998,36467434.44,-17,-182342465.76999998,1.0,0.8617886178861789,-0.1382113821138211,0.0743651753325272,0.06408706166868199,-0.01027811366384522,0.33931059980521733,0.27233287779779153,-0.0669777220074258,13.43089430894309,4.0,48.599999999999994,88,15.566037735849056,51.0,balanced,0.25,70669.965,595,743
current_step_only,25.0,308,308,103,0.3344155844155844,0.20077972709551656,205,0.6655844155844156,199,35,1191180186.85,110095656.11,-164,-1081084530.74,0.8766233766233766,0.34415584415584416,-0.5324675324675325,0.16324062877871826,0.06408706166868199,-0.09915356711003627,0.6138767082776507,0.21677459133158739,-0.39710211694606334,0.0,0.0,0.0,0,0.0,0.0,balanced,0.25,70669.965,595,743
seen_so_far_backlog,25.0,308,308,244,0.7922077922077922,0.6559139784946236,64,0.2077922077922078,64,7,416728600.95,48695793.050000004,-57,-368032807.9,0.8766233766233766,0.6915584415584416,-0.18506493506493504,0.16324062877871826,0.12877871825876663,-0.03446191051995162,0.6138767082776507,0.4786915280562144,-0.13518518022143633,10.516233766233766,4.0,33.0,80,11.004694835680752,38.60000000000002,balanced,0.25,70669.965,595,743
current_step_only,50.0,617,617,246,0.3987034035656402,0.24898785425101214,371,0.6012965964343598,263,25,1403513954.6599998,35689750.410000004,-238,-1367824204.2499998,0.6158833063209076,0.23014586709886548,-0.3857374392220421,0.22974607013301088,0.08585247883917775,-0.1438935912938331,0.7766583730925302,0.27423153071976614,-0.502426842372764,0.0,0.0,0.0,0,0.0,0.0,balanced,0.25,70669.965,595,743
seen_so_far_backlog,50.0,617,617,544,0.8816855753646677,0.7884057971014493,73,0.11831442463533225,73,7,386101254.3299999,16692131.38,-66,-369409122.9499999,0.6158833063209076,0.5089141004862237,-0.10696920583468394,0.22974607013301088,0.18984280532043532,-0.039903264812575556,0.7766583730925302,0.6409676471858126,-0.1356907259067176,7.716369529983792,2.0,28.0,92,8.496815286624203,18.399999999999977,balanced,0.25,70669.965,595,743
current_step_only,100.0,1235,1235,696,0.5635627530364372,0.3923337091319053,539,0.43643724696356273,366,18,1558958421.53,16498883.840000002,-348,-1542459537.69,0.43238866396761133,0.15060728744939272,-0.2817813765182186,0.32285368802902054,0.1124546553808948,-0.21039903264812573,0.8758101948398778,0.3092366010977856,-0.5665735937420922,0.0,0.0,0.0,0,0.0,0.0,balanced,0.25,70669.965,595,743
seen_so_far_backlog,100.0,1235,1235,1141,0.9238866396761134,0.8585402558314522,94,0.07611336032388664,87,1,388808438.92999995,1015051.7,-86,-387793387.22999996,0.43238866396761133,0.362753036437247,-0.06963562753036434,0.32285368802902054,0.2708585247883918,-0.05199516324062875,0.8758101948398778,0.7333665924868692,-0.14244360235300857,5.073684210526316,2.0,13.0,59,5.017857142857143,12.0,balanced,0.25,70669.965,595,743
current_step_only,10.0,123,123,33,0.2682926829268293,0.15492957746478872,90,0.7317073170731707,90,30,683708928.63,117435362.55,-60,-566273566.08,1.0,0.5121951219512195,-0.4878048780487805,0.0743651753325272,0.0380894800483676,-0.03627569528415961,0.33931059980521733,0.1313079640566117,-0.20800263574860564,0.0,0.0,0.0,0,0.0,0.0,value_first,0.25,70669.965,595,743
seen_so_far_backlog,10.0,123,123,93,0.7560975609756098,0.6078431372549019,30,0.24390243902439024,30,13,218809900.20999998,36467434.44,-17,-182342465.76999998,1.0,0.8617886178861789,-0.1382113821138211,0.0743651753325272,0.06408706166868199,-0.01027811366384522,0.33931059980521733,0.27233287779779153,-0.0669777220074258,13.43089430894309,4.0,48.599999999999994,88,15.566037735849056,51.0,value_first,0.25,70669.965,595,743
current_step_only,25.0,308,308,103,0.3344155844155844,0.20077972709551656,205,0.6655844155844156,199,35,1191180186.85,110095656.11,-164,-1081084530.74,0.8766233766233766,0.34415584415584416,-0.5324675324675325,0.16324062877871826,0.06408706166868199,-0.09915356711003627,0.6138767082776507,0.21677459133158739,-0.39710211694606334,0.0,0.0,0.0,0,0.0,0.0,value_first,0.25,70669.965,595,743
seen_so_far_backlog,25.0,308,308,244,0.7922077922077922,0.6559139784946236,64,0.2077922077922078,64,7,416728600.95,48695793.050000004,-57,-368032807.9,0.8766233766233766,0.6915584415584416,-0.18506493506493504,0.16324062877871826,0.12877871825876663,-0.03446191051995162,0.6138767082776507,0.4786915280562144,-0.13518518022143633,10.516233766233766,4.0,33.0,80,11.004694835680752,38.60000000000002,value_first,0.25,70669.965,595,743
current_step_only,50.0,617,617,246,0.3987034035656402,0.24898785425101214,371,0.6012965964343598,263,25,1403513954.6599998,35689750.410000004,-238,-1367824204.2499998,0.6158833063209076,0.23014586709886548,-0.3857374392220421,0.22974607013301088,0.08585247883917775,-0.1438935912938331,0.7766583730925302,0.27423153071976614,-0.502426842372764,0.0,0.0,0.0,0,0.0,0.0,value_first,0.25,70669.965,595,743
seen_so_far_backlog,50.0,617,617,544,0.8816855753646677,0.7884057971014493,73,0.11831442463533225,73,7,386101254.3299999,16692131.38,-66,-369409122.9499999,0.6158833063209076,0.5089141004862237,-0.10696920583468394,0.22974607013301088,0.18984280532043532,-0.039903264812575556,0.7766583730925302,0.6409676471858126,-0.1356907259067176,7.716369529983792,2.0,28.0,92,8.496815286624203,18.399999999999977,value_first,0.25,70669.965,595,743
current_step_only,100.0,1235,1235,696,0.5635627530364372,0.3923337091319053,539,0.43643724696356273,366,18,1558958421.53,16498883.840000002,-348,-1542459537.69,0.43238866396761133,0.15060728744939272,-0.2817813765182186,0.32285368802902054,0.1124546553808948,-0.21039903264812573,0.8758101948398778,0.3092366010977856,-0.5665735937420922,0.0,0.0,0.0,0,0.0,0.0,value_first,0.25,70669.965,595,743
seen_so_far_backlog,100.0,1235,1235,1141,0.9238866396761134,0.8585402558314522,94,0.07611336032388664,87,1,388808438.92999995,1015051.7,-86,-387793387.22999996,0.43238866396761133,0.362753036437247,-0.06963562753036434,0.32285368802902054,0.2708585247883918,-0.05199516324062875,0.8758101948398778,0.7333665924868692,-0.14244360235300857,5.073684210526316,2.0,13.0,59,5.017857142857143,12.0,value_first,0.25,70669.965,595,743
