profile,alpha,routing_contract,target_alerts_per_10k,step,transactions,cumulative_transactions,cumulative_entitlement,new_slots,selected_this_step,selected_cumulative,pending_after_selection,pending_before_selection
case_first,0.25,current_step_only,50.0,595,5434,5434,27,27,27,27,0,
case_first,0.25,current_step_only,50.0,596,9319,14753,73,46,46,73,0,
case_first,0.25,current_step_only,50.0,597,2486,17239,86,13,13,86,0,
case_first,0.25,current_step_only,50.0,598,934,18173,90,4,4,90,0,
case_first,0.25,current_step_only,50.0,599,1816,19989,99,9,9,99,0,
case_first,0.25,current_step_only,50.0,600,18,20007,100,1,1,100,0,
case_first,0.25,current_step_only,50.0,601,865,20872,104,4,4,104,0,
case_first,0.25,current_step_only,50.0,602,8,20880,104,0,0,104,0,
case_first,0.25,current_step_only,50.0,603,12,20892,104,0,0,104,0,
case_first,0.25,current_step_only,50.0,604,8,20900,104,0,0,104,0,
case_first,0.25,current_step_only,50.0,605,16,20916,104,0,0,104,0,
case_first,0.25,current_step_only,50.0,606,14,20930,104,0,0,104,0,
case_first,0.25,current_step_only,50.0,607,8,20938,104,0,0,104,0,
case_first,0.25,current_step_only,50.0,608,1082,22020,110,6,6,110,0,
case_first,0.25,current_step_only,50.0,609,8,22028,110,0,0,110,0,
case_first,0.25,current_step_only,50.0,610,1199,23227,116,6,6,116,0,
case_first,0.25,current_step_only,50.0,611,14,23241,116,0,0,116,0,
case_first,0.25,current_step_only,50.0,612,2677,25918,129,13,13,129,0,
case_first,0.25,current_step_only,50.0,613,45,25963,129,0,0,129,0,
case_first,0.25,current_step_only,50.0,614,1278,27241,136,7,7,136,0,
case_first,0.25,current_step_only,50.0,615,8,27249,136,0,0,136,0,
case_first,0.25,current_step_only,50.0,616,6,27255,136,0,0,136,0,
case_first,0.25,current_step_only,50.0,617,2680,29935,149,13,13,149,0,
case_first,0.25,current_step_only,50.0,618,8,29943,149,0,0,149,0,
case_first,0.25,current_step_only,50.0,619,2800,32743,163,14,14,163,0,
case_first,0.25,current_step_only,50.0,620,8,32751,163,0,0,163,0,
case_first,0.25,current_step_only,50.0,621,1121,33872,169,6,6,169,0,
case_first,0.25,current_step_only,50.0,622,4,33876,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,623,6,33882,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,624,10,33892,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,625,24,33916,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,626,6,33922,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,627,4,33926,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,628,6,33932,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,629,20,33952,169,0,0,169,0,
case_first,0.25,current_step_only,50.0,630,150,34102,170,1,1,170,0,
case_first,0.25,current_step_only,50.0,631,12,34114,170,0,0,170,0,
case_first,0.25,current_step_only,50.0,632,8,34122,170,0,0,170,0,
case_first,0.25,current_step_only,50.0,633,8,34130,170,0,0,170,0,
case_first,0.25,current_step_only,50.0,634,10,34140,170,0,0,170,0,
case_first,0.25,current_step_only,50.0,635,16,34156,170,0,0,170,0,
case_first,0.25,current_step_only,50.0,636,12,34168,170,0,0,170,0,
case_first,0.25,current_step_only,50.0,637,3390,37558,187,17,17,187,0,
case_first,0.25,current_step_only,50.0,638,14,37572,187,0,0,187,0,
case_first,0.25,current_step_only,50.0,639,14,37586,187,0,0,187,0,
case_first,0.25,current_step_only,50.0,640,1398,38984,194,7,7,194,0,
case_first,0.25,current_step_only,50.0,641,10,38994,194,0,0,194,0,
case_first,0.25,current_step_only,50.0,642,1141,40135,200,6,6,200,0,
case_first,0.25,current_step_only,50.0,643,14,40149,200,0,0,200,0,
case_first,0.25,current_step_only,50.0,644,2267,42416,212,12,12,212,0,
case_first,0.25,current_step_only,50.0,645,10,42426,212,0,0,212,0,
case_first,0.25,current_step_only,50.0,646,20,42446,212,0,0,212,0,
case_first,0.25,current_step_only,50.0,647,10,42456,212,0,0,212,0,
case_first,0.25,current_step_only,50.0,648,14,42470,212,0,0,212,0,
case_first,0.25,current_step_only,50.0,649,263,42733,213,1,1,213,0,
case_first,0.25,current_step_only,50.0,650,16,42749,213,0,0,213,0,
case_first,0.25,current_step_only,50.0,651,10,42759,213,0,0,213,0,
case_first,0.25,current_step_only,50.0,652,14,42773,213,0,0,213,0,
case_first,0.25,current_step_only,50.0,653,8,42781,213,0,0,213,0,
case_first,0.25,current_step_only,50.0,654,8,42789,213,0,0,213,0,
case_first,0.25,current_step_only,50.0,655,4,42793,213,0,0,213,0,
case_first,0.25,current_step_only,50.0,656,1965,44758,223,10,10,223,0,
case_first,0.25,current_step_only,50.0,657,10,44768,223,0,0,223,0,
case_first,0.25,current_step_only,50.0,658,14,44782,223,0,0,223,0,
case_first,0.25,current_step_only,50.0,659,2500,47282,236,13,13,236,0,
case_first,0.25,current_step_only,50.0,660,12,47294,236,0,0,236,0,
case_first,0.25,current_step_only,50.0,661,4877,52171,260,24,24,260,0,
case_first,0.25,current_step_only,50.0,662,2,52173,260,0,0,260,0,
case_first,0.25,current_step_only,50.0,663,10,52183,260,0,0,260,0,
case_first,0.25,current_step_only,50.0,664,1125,53308,266,6,6,266,0,
case_first,0.25,current_step_only,50.0,665,10,53318,266,0,0,266,0,
case_first,0.25,current_step_only,50.0,666,6,53324,266,0,0,266,0,
case_first,0.25,current_step_only,50.0,667,1400,54724,273,7,7,273,0,
case_first,0.25,current_step_only,50.0,668,8,54732,273,0,0,273,0,
case_first,0.25,current_step_only,50.0,669,322,55054,275,2,2,275,0,
case_first,0.25,current_step_only,50.0,670,1906,56960,284,9,9,284,0,
case_first,0.25,current_step_only,50.0,671,18,56978,284,0,0,284,0,
case_first,0.25,current_step_only,50.0,672,153,57131,285,1,1,285,0,
case_first,0.25,current_step_only,50.0,673,445,57576,287,2,2,287,0,
case_first,0.25,current_step_only,50.0,674,14,57590,287,0,0,287,0,
case_first,0.25,current_step_only,50.0,675,30,57620,288,1,1,288,0,
case_first,0.25,current_step_only,50.0,676,8,57628,288,0,0,288,0,
case_first,0.25,current_step_only,50.0,677,8,57636,288,0,0,288,0,
case_first,0.25,current_step_only,50.0,678,6,57642,288,0,0,288,0,
case_first,0.25,current_step_only,50.0,679,72,57714,288,0,0,288,0,
case_first,0.25,current_step_only,50.0,680,22,57736,288,0,0,288,0,
case_first,0.25,current_step_only,50.0,681,4703,62439,312,24,24,312,0,
case_first,0.25,current_step_only,50.0,682,6,62445,312,0,0,312,0,
case_first,0.25,current_step_only,50.0,683,2192,64637,323,11,11,323,0,
case_first,0.25,current_step_only,50.0,684,4562,69199,345,22,22,345,0,
case_first,0.25,current_step_only,50.0,685,14,69213,346,1,1,346,0,
case_first,0.25,current_step_only,50.0,686,4689,73902,369,23,23,369,0,
case_first,0.25,current_step_only,50.0,687,8040,81942,409,40,40,409,0,
case_first,0.25,current_step_only,50.0,688,7885,89827,449,40,40,449,0,
case_first,0.25,current_step_only,50.0,689,14,89841,449,0,0,449,0,
case_first,0.25,current_step_only,50.0,690,4972,94813,474,25,25,474,0,
case_first,0.25,current_step_only,50.0,691,4809,99622,498,24,24,498,0,
case_first,0.25,current_step_only,50.0,692,6898,106520,532,34,34,532,0,
case_first,0.25,current_step_only,50.0,693,4,106524,532,0,0,532,0,
case_first,0.25,current_step_only,50.0,694,2664,109188,545,13,13,545,0,
case_first,0.25,current_step_only,50.0,695,2827,112015,560,15,15,560,0,
case_first,0.25,current_step_only,50.0,696,6,112021,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,697,12,112033,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,698,65,112098,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,699,55,112153,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,700,6,112159,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,701,18,112177,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,702,14,112191,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,703,8,112199,560,0,0,560,0,
case_first,0.25,current_step_only,50.0,704,16,112215,561,1,1,561,0,
case_first,0.25,current_step_only,50.0,705,2362,114577,572,11,11,572,0,
case_first,0.25,current_step_only,50.0,706,4,114581,572,0,0,572,0,
case_first,0.25,current_step_only,50.0,707,309,114890,574,2,2,574,0,
case_first,0.25,current_step_only,50.0,708,4,114894,574,0,0,574,0,
case_first,0.25,current_step_only,50.0,709,2313,117207,586,12,12,586,0,
case_first,0.25,current_step_only,50.0,710,1788,118995,594,8,8,594,0,
case_first,0.25,current_step_only,50.0,711,8,119003,595,1,1,595,0,
case_first,0.25,current_step_only,50.0,712,23,119026,595,0,0,595,0,
case_first,0.25,current_step_only,50.0,713,8,119034,595,0,0,595,0,
case_first,0.25,current_step_only,50.0,714,681,119715,598,3,3,598,0,
case_first,0.25,current_step_only,50.0,715,1879,121594,607,9,9,607,0,
case_first,0.25,current_step_only,50.0,716,140,121734,608,1,1,608,0,
case_first,0.25,current_step_only,50.0,717,632,122366,611,3,3,611,0,
case_first,0.25,current_step_only,50.0,718,918,123284,616,5,5,616,0,
case_first,0.25,current_step_only,50.0,719,14,123298,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,720,10,123308,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,721,4,123312,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,722,10,123322,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,723,14,123336,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,724,14,123350,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,725,4,123354,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,726,22,123376,616,0,0,616,0,
case_first,0.25,current_step_only,50.0,727,12,123388,616,0,0,616,0,
