cycle,policy_step_min,policy_step_max,alpha,amount_scale,min_recall,mean_recall,min_precision,mean_precision,min_fraud_value_recall,mean_fraud_value_recall,min_balanced_hmean,mean_balanced_hmean,recall_range,value_recall_range
1,520,594,0.0,70669.965,0.2364341085271318,0.27029310260083134,0.2282958199356913,0.2731476122274347,0.6477823896924405,0.7224235709160897,0.346426134628568,0.3933670198406159,0.06066734074823052,0.12765192424253036
1,520,594,0.25,70669.965,0.25390625,0.27627118792832267,0.2090032154340836,0.28171295713773786,0.7235520075313681,0.7795790320760027,0.38220331947037106,0.40772620677893107,0.06131114130434784,0.11805160816497995
1,520,594,0.5,70669.965,0.25390625,0.27497919826424,0.2090032154340836,0.2804057675952542,0.7205249258318628,0.7785700048428342,0.37757449542989807,0.4061832654321067,0.06131114130434784,0.12107868986448522
1,520,594,0.75,70669.965,0.25,0.27246938546230764,0.2057877813504823,0.277903341069533,0.7205249258318628,0.7767966312098058,0.37752600328757696,0.4031858341926166,0.06159420289855072,0.11871522890020303
1,520,594,1.0,70669.965,0.2421875,0.2650343009212448,0.19935691318327975,0.2700372576890491,0.7205249258318628,0.7713224792704615,0.36782318162083316,0.3942829383363054,0.054913949275362306,0.10860366949135147
2,570,644,0.0,66303.38,0.15808823529411764,0.21385333203048662,0.24705882352941178,0.5179783672160071,0.46746966250626415,0.6177988702231573,0.2362737462319893,0.3175755059892966,0.08609781121751026,0.25656336391977136
2,570,644,0.25,66303.38,0.16544117647058823,0.23616403925911447,0.2784313725490196,0.5586846906451742,0.6060786865072142,0.7070902077219325,0.2599294606427709,0.3530583135065268,0.10975262197902416,0.17441297849992088
2,570,644,0.5,66303.38,0.15808823529411764,0.23371305886695762,0.2784313725490196,0.5447958017562854,0.6495408577554922,0.7215775981380252,0.2542869464156009,0.35117747543080347,0.11710556315549475,0.13095080725164288
2,570,644,0.75,66303.38,0.15441176470588236,0.22602762035046575,0.25882352941176473,0.5313154095994226,0.6453953522223246,0.7154706476871074,0.24920167165396484,0.34187113243214834,0.11344537815126049,0.1350963127848105
2,570,644,1.0,66303.38,0.15073529411764705,0.22361165396391114,0.25882352941176473,0.522325975379927,0.6480462742301584,0.716465798908604,0.24458112109415864,0.33902100256558265,0.11355042016806724,0.13277992243363224
3,620,694,0.0,75793.935,0.15808823529411764,0.23142485556440504,0.37407407407407406,0.6719797178130512,0.4934040996777728,0.6227200918597031,0.23945449307030606,0.33654336382648636,0.2000677930746767,0.3644006665993666
3,620,694,0.25,75793.935,0.16544117647058823,0.23167295609410754,0.3592592592592593,0.6915123456790123,0.6223417716801541,0.7271577486742613,0.26139422061685275,0.3488404504994828,0.17853045473508553,0.24293921795724083
3,620,694,0.5,75793.935,0.16176470588235295,0.2206688284598172,0.34444444444444444,0.6584656084656085,0.6338132165133483,0.7296248608849476,0.25774623872137725,0.33607496485417426,0.16802252816020022,0.22560469440521957
3,620,694,0.75,75793.935,0.15151515151515152,0.21190471675452902,0.34444444444444444,0.6181216931216932,0.6453953522223246,0.7313877622829471,0.24842739684485338,0.32476402828316947,0.17827208252740165,0.21402255869624331
3,620,694,1.0,75793.935,0.14772727272727273,0.21064209049190274,0.34444444444444444,0.6128306878306878,0.6529784042090472,0.7356781983334244,0.24364011159010018,0.32335492376552605,0.18205996131528043,0.20643950670952071
