cycle,strategy,test_step_min,test_step_max,target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker,profile,alpha,amount_scale
1,frozen_v1_7,595,644,10.0,42,42,9.901923802338741,1.0,0.07608695652173914,0.0,0.0,0.33180817533453266,42,0,2.129825747826925,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,frozen_v1_7,595,644,25.0,106,106,24.990569596378727,0.7547169811320755,0.14492753623188406,0.0006210586661570801,6.210586661570801,0.5875922360463809,80,26,1.6190506197986778,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,frozen_v1_7,595,644,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,frozen_v1_7,595,644,100.0,424,424,99.9622783855149,0.39858490566037735,0.3061594202898551,0.006091152302694439,60.91152302694439,0.8506427401153344,169,255,0.4292688803109687,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,frozen_v1_7,595,644,10.0,42,42,9.901923802338741,1.0,0.07608695652173914,0.0,0.0,0.33180817533453266,42,0,2.129825747826925,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,frozen_v1_7,595,644,25.0,106,106,24.990569596378727,0.7547169811320755,0.14492753623188406,0.0006210586661570801,6.210586661570801,0.5875922360463809,80,26,1.6190506197986778,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,frozen_v1_7,595,644,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,frozen_v1_7,595,644,100.0,424,424,99.9622783855149,0.39858490566037735,0.3061594202898551,0.006091152302694439,60.91152302694439,0.8506427401153344,169,255,0.4292688803109687,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,frozen_v1_7,595,644,10.0,42,42,9.901923802338741,1.0,0.07608695652173914,0.0,0.0,0.33180817533453266,42,0,2.129825747826925,1,1,stable_non_label_event_key,value_first,0.25,70669.965
1,frozen_v1_7,595,644,25.0,106,106,24.990569596378727,0.7547169811320755,0.14492753623188406,0.0006210586661570801,6.210586661570801,0.5875922360463809,80,26,1.6190506197986778,1,1,stable_non_label_event_key,value_first,0.25,70669.965
