target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker,profile,alpha,amount_scale
10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.4527841321135657,1,1,stable_non_label_event_key,case_first,0.25,70669.965
25.0,308,308,24.923126719533904,0.8766233766233766,0.16324062877871826,0.0003116644522087168,3.1166445220871677,0.6138767082776507,270,38,1.727256253530472,1,1,stable_non_label_event_key,case_first,0.25,70669.965
50.0,617,617,49.9271726816637,0.6158833063209076,0.22974607013301088,0.001943801978249102,19.43801978249102,0.7766583730925302,380,237,1.3500368831810936,1,1,stable_non_label_event_key,case_first,0.25,70669.965
100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.45033973160600704,1,1,stable_non_label_event_key,case_first,0.25,70669.965
10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.4527841321135657,1,1,stable_non_label_event_key,balanced,0.25,70669.965
25.0,308,308,24.923126719533904,0.8766233766233766,0.16324062877871826,0.0003116644522087168,3.1166445220871677,0.6138767082776507,270,38,1.727256253530472,1,1,stable_non_label_event_key,balanced,0.25,70669.965
50.0,617,617,49.9271726816637,0.6158833063209076,0.22974607013301088,0.001943801978249102,19.43801978249102,0.7766583730925302,380,237,1.3500368831810936,1,1,stable_non_label_event_key,balanced,0.25,70669.965
100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.45033973160600704,1,1,stable_non_label_event_key,balanced,0.25,70669.965
10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.4527841321135657,1,1,stable_non_label_event_key,value_first,0.25,70669.965
25.0,308,308,24.923126719533904,0.8766233766233766,0.16324062877871826,0.0003116644522087168,3.1166445220871677,0.6138767082776507,270,38,1.727256253530472,1,1,stable_non_label_event_key,value_first,0.25,70669.965
50.0,617,617,49.9271726816637,0.6158833063209076,0.22974607013301088,0.001943801978249102,19.43801978249102,0.7766583730925302,380,237,1.3500368831810936,1,1,stable_non_label_event_key,value_first,0.25,70669.965
100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.45033973160600704,1,1,stable_non_label_event_key,value_first,0.25,70669.965
