window,step_min,step_max,n,fraud_n,target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker,alpha,amount_scale,balanced_hmean
validation_window_1,520,544,62320,256,50.0,311,311,49.903722721437745,0.2282958199356913,0.27734375,0.0038669760247486465,38.669760247486465,0.7440540091208577,71,240,0.35905380767789435,140,32,stable_non_label_event_key,0.0,70669.965,0.4040712391414114
validation_window_1,520,544,62320,256,50.0,311,311,49.903722721437745,0.2090032154340836,0.25390625,0.003963650425367363,39.63650425367363,0.7735814730002918,65,246,0.831964774877655,1,1,stable_non_label_event_key,0.25,70669.965,0.38232509543848736
validation_window_1,520,544,62320,256,50.0,311,311,49.903722721437745,0.2090032154340836,0.25390625,0.003963650425367363,39.63650425367363,0.7735814730002918,65,246,1.927748353690112,1,1,stable_non_label_event_key,0.5,70669.965,0.38232509543848736
validation_window_1,520,544,62320,256,50.0,311,311,49.903722721437745,0.2057877813504823,0.25,0.003979762825470482,39.797628254704826,0.7706248130654888,64,247,4.462997828753596,1,1,stable_non_label_event_key,0.75,70669.965,0.37752600328757696
validation_window_1,520,544,62320,256,50.0,311,311,49.903722721437745,0.19935691318327975,0.2421875,0.004011987625676721,40.11987625676721,0.7643139166563072,62,249,10.281277720955924,1,1,stable_non_label_event_key,1.0,70669.965,0.36782318162083316
validation_window_2,545,569,46679,276,50.0,233,233,49.915379506844616,0.351931330472103,0.2971014492753623,0.003254099950434239,32.54099950434239,0.7754343139349709,82,151,0.34055248000360805,12,1,stable_non_label_event_key,0.0,70669.965,0.4296036857518683
validation_window_2,545,569,46679,276,50.0,233,233,49.915379506844616,0.37339055793991416,0.31521739130434784,0.0031463482964463503,31.463482964463502,0.841603615696348,87,146,0.4487855914096527,1,1,stable_non_label_event_key,0.25,70669.965,0.45865020542793467
validation_window_2,545,569,46679,276,50.0,233,233,49.915379506844616,0.37339055793991416,0.31521739130434784,0.0031463482964463503,31.463482964463502,0.841603615696348,87,146,0.941165180863752,1,1,stable_non_label_event_key,0.5,70669.965,0.45865020542793467
validation_window_2,545,569,46679,276,50.0,233,233,49.915379506844616,0.36909871244635195,0.3115942028985507,0.0031678986272439284,31.678986272439285,0.8392401547320658,86,147,1.9505756049298357,1,1,stable_non_label_event_key,0.75,70669.965,0.45445700386037463
validation_window_2,545,569,46679,276,50.0,233,233,49.915379506844616,0.351931330472103,0.2971014492753623,0.003254099950434239,32.54099950434239,0.8291285953232143,82,151,3.9971538951754835,1,1,stable_non_label_event_key,1.0,70669.965,0.43745113795818497
validation_window_3,570,594,51071,258,50.0,255,255,49.93048892717981,0.23921568627450981,0.2364341085271318,0.0038179206108672975,38.17920610867298,0.6477823896924405,61,194,0.35905380767789435,99,10,stable_non_label_event_key,0.0,70669.965,0.346426134628568
validation_window_3,570,594,51071,258,50.0,255,255,49.93048892717981,0.2627450980392157,0.2596899224806202,0.003699840591974495,36.99840591974495,0.7235520075313681,67,188,0.6019431840344622,1,1,stable_non_label_event_key,0.25,70669.965,0.38220331947037106
validation_window_3,570,594,51071,258,50.0,255,255,49.93048892717981,0.25882352941176473,0.2558139534883721,0.0037195205951232953,37.19520595123295,0.7205249258318628,66,189,1.3412323480546837,1,1,stable_non_label_event_key,0.5,70669.965,0.37757449542989807
validation_window_3,570,594,51071,258,50.0,255,255,49.93048892717981,0.25882352941176473,0.2558139534883721,0.0037195205951232953,37.19520595123295,0.7205249258318628,66,189,2.9884986846335395,1,1,stable_non_label_event_key,0.75,70669.965,0.37757449542989807
validation_window_3,570,594,51071,258,50.0,255,255,49.93048892717981,0.25882352941176473,0.2558139534883721,0.0037195205951232953,37.19520595123295,0.7205249258318628,66,189,6.6588942631827,1,1,stable_non_label_event_key,1.0,70669.965,0.37757449542989807
